UniqueID,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,noDescription,charCountDescription,upperCaseDescription,startprice_99end
10467,biddable,249.98,used,Cellular,AT&T,Space Gray,16/32/64 GB,iPad Air 1/2,1,no description,101,7,not a 99 ending
10468,biddable,299,used,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10469,not biddable,225,used,Unknown,Unknown,Unknown,Unknown,iPad 3,0,no description,99,2,not a 99 ending
10470,biddable,19.99,used,No cellular,None,Black,16/32/64 GB,iPad 1,1,contains description,0,0,99 ending
10471,not biddable,110,refurbished,No cellular,None,Black,16/32/64 GB,iPad 1,0,no description,103,10,not a 99 ending
10472,biddable,200,used,No cellular,None,White,16/32/64 GB,iPad 3,0,contains description,0,0,not a 99 ending
10473,biddable,249,new,Cellular,AT&T,Space Gray,16/32/64 GB,iPad mini,0,contains description,0,0,not a 99 ending
10474,biddable,125,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10475,biddable,1,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10476,biddable,60,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10477,biddable,179.99,used,Cellular,Unknown,White,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10478,biddable,5,used,Unknown,Unknown,White,16/32/64 GB,Unknown,1,contains description,0,0,not a 99 ending
10479,biddable,90,used,No cellular,None,White,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10480,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,contains description,0,0,99 ending
10481,biddable,50,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,no description,33,1,not a 99 ending
10482,not biddable,115,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10483,not biddable,249,used,Cellular,Verizon,Black,16/32/64 GB,iPad mini,0,no description,105,4,not a 99 ending
10484,biddable,50,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10485,not biddable,252.99,refurbished,Cellular,AT&T,Black,16/32/64 GB,iPad 3,0,no description,17,1,99 ending
10486,biddable,1,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10487,biddable,80,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10488,biddable,40,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,0,contains description,0,0,not a 99 ending
10489,biddable,100,used,No cellular,None,Unknown,16/32/64 GB,iPad 4,0,no description,95,3,not a 99 ending
10490,not biddable,408,refurbished,Cellular,Verizon,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10491,biddable,5,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,0,no description,77,1,not a 99 ending
10492,biddable,125,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10493,biddable,49.99,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10494,not biddable,124.95,used,No cellular,None,White,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10495,biddable,159.99,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10496,biddable,130,used,No cellular,None,White,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10497,biddable,0.99,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10498,not biddable,89.99,used,No cellular,None,Black,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10499,biddable,111.5,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,100,4,not a 99 ending
10500,not biddable,315,used,Cellular,Verizon,White,16/32/64 GB,iPad 2,0,no description,93,4,not a 99 ending
10501,biddable,199.99,used,No cellular,None,White,16/32/64 GB,iPad 4,1,contains description,0,0,99 ending
10502,biddable,160,used,Cellular,AT&T,White,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10503,not biddable,184.99,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 2,0,no description,101,2,99 ending
10504,biddable,150,used,Cellular,Verizon,White,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10505,biddable,75,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10506,not biddable,200,used,Cellular,Verizon,Space Gray,16/32/64 GB,iPad mini 2,0,no description,94,5,not a 99 ending
10507,biddable,118,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10508,not biddable,199.99,used,No cellular,None,White,16/32/64 GB,iPad 4,0,contains description,0,0,99 ending
10509,biddable,250,used,Cellular,AT&T,Black,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10510,biddable,99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini3,1,contains description,0,0,99 ending
10511,biddable,150,new,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10512,not biddable,79,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,no description,15,0,not a 99 ending
10513,not biddable,399.99,new,No cellular,None,Space Gray,16/32/64 GB,iPad mini 2,0,contains description,0,0,99 ending
10514,biddable,59.99,used,No cellular,None,Black,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10515,not biddable,210,used,No cellular,None,White,16/32/64 GB,iPad 2,1,no description,28,25,not a 99 ending
10516,biddable,92.49,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10517,biddable,99,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10518,not biddable,154,used,Cellular,Verizon,White,16/32/64 GB,iPad 2,0,no description,93,4,not a 99 ending
10519,biddable,149.99,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,1,no description,97,2,99 ending
10520,not biddable,169.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,0,no description,95,9,99 ending
10521,biddable,120,used,Cellular,Unknown,White,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10522,not biddable,195,used,No cellular,None,White,16/32/64 GB,iPad 2,0,no description,98,2,not a 99 ending
10523,not biddable,425,used,Cellular,AT&T,Gold,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10524,biddable,200,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10525,not biddable,300,used,Unknown,Unknown,Unknown,Unknown,Unknown,1,contains description,0,0,not a 99 ending
10526,biddable,69,used,No cellular,None,Black,16/32/64 GB,iPad 1,0,no description,47,1,not a 99 ending
10527,biddable,300,refurbished,No cellular,None,White,16/32/64 GB,iPad 4,0,contains description,0,0,not a 99 ending
10528,biddable,149,used,No cellular,None,White,16/32/64 GB,iPad mini,0,no description,87,8,not a 99 ending
10529,biddable,150,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,0,no description,97,9,not a 99 ending
10530,biddable,110,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10531,biddable,99,new,No cellular,None,White,16/32/64 GB,iPad 2,1,no description,50,1,99 ending
10532,biddable,224.98,used,No cellular,None,White,16/32/64 GB,iPad 4,0,no description,97,8,not a 99 ending
10533,biddable,99.99,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10534,not biddable,89,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10535,biddable,380,new,No cellular,None,White,128 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10536,biddable,149.99,used,Cellular,Verizon,Black,16/32/64 GB,iPad 2,1,no description,97,5,99 ending
10537,not biddable,14,used,No cellular,None,Black,16/32/64 GB,Unknown,0,contains description,0,0,not a 99 ending
10538,biddable,120,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10539,not biddable,149,used,Cellular,Verizon,White,16/32/64 GB,iPad 2,0,no description,100,4,not a 99 ending
10540,biddable,99.99,used,No cellular,None,White,16/32/64 GB,iPad 2,1,no description,19,1,99 ending
10541,biddable,400,used,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10542,biddable,0.01,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,no description,69,1,not a 99 ending
10543,biddable,0.01,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,no description,21,1,not a 99 ending
10544,not biddable,475,used,No cellular,None,Gold,16/32/64 GB,iPad Air 1/2,1,no description,33,1,not a 99 ending
10545,biddable,99,used,No cellular,None,Black,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10546,not biddable,394.99,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,0,no description,26,1,99 ending
10547,not biddable,175,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,0,contains description,0,0,not a 99 ending
10548,biddable,50,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,no description,94,1,not a 99 ending
10549,biddable,300,new,No cellular,None,Unknown,128 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10550,not biddable,399.99,new,Cellular,Verizon,Space Gray,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10551,biddable,9.95,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10552,biddable,59,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,no description,82,1,not a 99 ending
10553,biddable,50,used,No cellular,None,Unknown,16/32/64 GB,Unknown,1,contains description,0,0,not a 99 ending
10554,not biddable,234,used,No cellular,None,White,16/32/64 GB,iPad 3,0,no description,54,2,not a 99 ending
10555,not biddable,349.99,new,No cellular,None,Gold,16/32/64 GB,iPad mini3,0,contains description,0,0,99 ending
10556,biddable,72,used,No cellular,None,Space Gray,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10557,not biddable,170,used,No cellular,None,Space Gray,16/32/64 GB,Unknown,1,no description,24,0,not a 99 ending
10558,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10559,not biddable,325,used,Cellular,AT&T,Black,16/32/64 GB,iPad 4,0,no description,73,3,not a 99 ending
10560,not biddable,140,used,Cellular,Verizon,White,16/32/64 GB,iPad 2,0,no description,99,1,not a 99 ending
10561,biddable,0.01,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10562,not biddable,147.59,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,no description,75,1,not a 99 ending
10563,not biddable,399.99,used,Cellular,AT&T,Gold,16/32/64 GB,iPad Air 1/2,0,no description,99,4,99 ending
10564,biddable,95,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10565,not biddable,499,used,Cellular,Verizon,Gold,16/32/64 GB,iPad Air 1/2,0,no description,95,22,99 ending
10566,biddable,45,used,No cellular,None,Black,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10567,biddable,125,used,No cellular,None,Space Gray,16/32/64 GB,iPad 2,0,no description,98,3,not a 99 ending
10568,not biddable,82.95,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10569,biddable,150,used,No cellular,None,White,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10570,biddable,0.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 4,1,contains description,0,0,99 ending
10571,biddable,199.99,used,Cellular,AT&T,White,16/32/64 GB,iPad Air 1/2,1,no description,69,2,99 ending
10572,biddable,185,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,1,no description,44,1,not a 99 ending
10573,biddable,201.99,used,No cellular,None,Unknown,16/32/64 GB,iPad mini 2,1,no description,92,2,99 ending
10574,not biddable,289.99,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 4,0,no description,67,1,99 ending
10575,not biddable,219.99,used,Cellular,AT&T,White,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10576,biddable,89.99,used,No cellular,None,Black,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10577,biddable,279,used,Cellular,Verizon,Black,16/32/64 GB,iPad Air 1/2,1,no description,99,1,not a 99 ending
10578,biddable,150,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10579,biddable,0.99,refurbished,No cellular,None,White,16/32/64 GB,iPad 3,1,no description,101,3,99 ending
10580,biddable,49.99,used,Cellular,AT&T,White,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10581,biddable,75,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,no description,98,4,not a 99 ending
10582,biddable,149.99,refurbished,Cellular,Unknown,Black,16/32/64 GB,Unknown,1,contains description,0,0,99 ending
10583,not biddable,275,used,No cellular,None,White,16/32/64 GB,iPad 3,0,no description,95,6,not a 99 ending
10584,biddable,249,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,no description,99,11,not a 99 ending
10585,biddable,0.99,used,Unknown,Unknown,Black,Unknown,Unknown,1,contains description,0,0,99 ending
10586,not biddable,198,used,Cellular,Verizon,White,16/32/64 GB,iPad 1,0,no description,99,4,not a 99 ending
10587,not biddable,300,used,Cellular,AT&T,Space Gray,16/32/64 GB,iPad Air 1/2,0,no description,99,5,not a 99 ending
10588,biddable,111,used,Cellular,Verizon,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10589,biddable,100,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10590,not biddable,410,used,Cellular,Sprint/T-Mobile,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10591,not biddable,150,used,No cellular,None,Black,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10592,biddable,300,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini3,1,contains description,0,0,not a 99 ending
10593,biddable,100,used,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,1,no description,54,4,not a 99 ending
10594,not biddable,60,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10595,biddable,113,used,No cellular,None,White,16/32/64 GB,iPad mini,0,contains description,0,0,not a 99 ending
10596,not biddable,155,used,Cellular,Verizon,White,16/32/64 GB,iPad 2,0,no description,103,3,not a 99 ending
10597,not biddable,90,used,Cellular,AT&T,White,16/32/64 GB,Unknown,0,no description,99,1,not a 99 ending
10598,biddable,180,new,Cellular,Verizon,Black,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10599,biddable,99.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 2,1,contains description,0,0,99 ending
10600,biddable,30,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,87,3,not a 99 ending
10601,not biddable,699.95,refurbished,No cellular,None,Black,16/32/64 GB,iPad 3,0,no description,83,3,not a 99 ending
10602,biddable,275,used,Unknown,Unknown,Unknown,128 GB,Unknown,0,contains description,0,0,not a 99 ending
10603,biddable,94.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,0,contains description,0,0,99 ending
10604,biddable,0.99,used,Cellular,Verizon,Black,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10605,not biddable,550,used,Cellular,Unknown,Unknown,128 GB,iPad Air 1/2,0,no description,101,5,not a 99 ending
10606,biddable,0.99,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10607,biddable,210,new,Unknown,Unknown,Black,Unknown,Unknown,0,contains description,0,0,not a 99 ending
10608,biddable,179,used,Cellular,Verizon,Black,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10609,not biddable,80,used,No cellular,None,White,16/32/64 GB,Unknown,0,no description,99,1,not a 99 ending
10610,not biddable,155,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,53,3,not a 99 ending
10611,not biddable,150,used,Unknown,Unknown,White,Unknown,Unknown,1,contains description,0,0,not a 99 ending
10612,not biddable,209,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10613,not biddable,439.99,new,Cellular,Sprint/T-Mobile,Black,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,99 ending
10614,not biddable,349.99,used,Cellular,Verizon,White,16/32/64 GB,iPad mini 2,0,contains description,0,0,99 ending
10615,biddable,200,used,No cellular,None,Unknown,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10616,biddable,150,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10617,biddable,0.99,used,No cellular,None,White,16/32/64 GB,iPad 2,1,no description,94,13,99 ending
10618,biddable,100,used,No cellular,None,Black,16/32/64 GB,iPad mini,1,no description,101,18,not a 99 ending
10619,biddable,395,refurbished,No cellular,None,Space Gray,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10620,biddable,9.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,94,12,99 ending
10621,biddable,125,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,27,1,not a 99 ending
10622,not biddable,208.99,used,No cellular,None,Black,16/32/64 GB,iPad mini,0,no description,91,9,99 ending
10623,biddable,9.99,used,Unknown,Unknown,White,Unknown,iPad 2,1,contains description,0,0,99 ending
10624,biddable,0.01,used,No cellular,None,Black,16/32/64 GB,iPad 3,1,no description,9,0,not a 99 ending
10625,not biddable,559.99,used,Cellular,AT&T,White,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,99 ending
10626,biddable,60,used,No cellular,None,Space Gray,16/32/64 GB,iPad 1,1,no description,89,2,not a 99 ending
10627,biddable,39.99,used,No cellular,None,White,16/32/64 GB,iPad 2,1,no description,99,6,99 ending
10628,biddable,175,used,Cellular,Verizon,Black,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10629,not biddable,229.98,used,No cellular,None,White,16/32/64 GB,iPad 3,0,no description,98,2,not a 99 ending
10630,not biddable,180,used,No cellular,None,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10631,biddable,0.01,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 2,1,no description,96,3,not a 99 ending
10632,not biddable,120,used,Unknown,Unknown,Unknown,Unknown,Unknown,0,contains description,0,0,not a 99 ending
10633,biddable,50,used,No cellular,None,Black,16/32/64 GB,iPad 4,1,no description,45,1,not a 99 ending
10634,biddable,145,used,No cellular,None,White,16/32/64 GB,iPad mini 2,1,no description,96,12,not a 99 ending
10635,biddable,9.95,used,Unknown,Unknown,Unknown,16/32/64 GB,iPad mini3,1,contains description,0,0,not a 99 ending
10636,biddable,299,used,Cellular,Unknown,Unknown,16/32/64 GB,iPad mini 2,1,no description,72,2,99 ending
10637,not biddable,560,new,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10638,not biddable,159.95,new,No cellular,None,Unknown,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10639,biddable,49.95,used,No cellular,None,Unknown,16/32/64 GB,Unknown,1,no description,76,2,not a 99 ending
10640,biddable,0.99,new,No cellular,None,White,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10641,biddable,159,used,No cellular,None,Space Gray,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10642,biddable,50,used,No cellular,None,Unknown,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10643,not biddable,560,new,No cellular,None,White,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10644,not biddable,549.9,new,Cellular,Unknown,Gold,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10645,not biddable,80,used,No cellular,None,White,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10646,biddable,149.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,99,4,99 ending
10647,not biddable,449.99,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,0,no description,101,5,99 ending
10648,biddable,79.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,0,no description,97,8,99 ending
10649,not biddable,227.95,refurbished,No cellular,None,Unknown,16/32/64 GB,iPad 2,0,contains description,0,0,not a 99 ending
10650,not biddable,785,new,Cellular,Sprint/T-Mobile,Gold,128 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10651,not biddable,186,used,Cellular,AT&T,White,16/32/64 GB,Unknown,0,no description,99,1,not a 99 ending
10652,biddable,200,used,Cellular,AT&T,White,16/32/64 GB,iPad mini 2,1,no description,62,1,not a 99 ending
10653,biddable,200,new,Unknown,Unknown,Space Gray,16/32/64 GB,iPad mini 2,1,contains description,0,0,not a 99 ending
10654,biddable,220,used,Cellular,Verizon,Black,16/32/64 GB,iPad 3,1,contains description,0,0,not a 99 ending
10655,not biddable,349.95,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad Air 1/2,0,no description,52,3,not a 99 ending
10656,biddable,225,used,Cellular,Sprint/T-Mobile,Unknown,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10657,biddable,0.99,used,Cellular,AT&T,White,16/32/64 GB,iPad mini 2,1,no description,35,3,99 ending
10658,biddable,100,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 1,0,contains description,0,0,not a 99 ending
10659,biddable,0.01,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad 2,1,no description,95,2,not a 99 ending
10660,not biddable,329.99,new,No cellular,None,White,16/32/64 GB,iPad mini3,0,contains description,0,0,99 ending
10661,biddable,55,used,Cellular,Verizon,Black,16/32/64 GB,iPad 1,1,no description,99,5,not a 99 ending
10662,biddable,100,used,Cellular,AT&T,Unknown,16/32/64 GB,iPad mini,1,no description,79,2,not a 99 ending
10663,not biddable,250,used,No cellular,None,Unknown,16/32/64 GB,iPad mini,0,no description,101,2,not a 99 ending
10664,not biddable,180,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,46,1,not a 99 ending
10665,not biddable,127.99,refurbished,Cellular,Verizon,Black,16/32/64 GB,iPad 2,0,no description,108,9,99 ending
10666,biddable,0.01,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,1,no description,27,3,not a 99 ending
10667,not biddable,89.99,used,No cellular,None,Black,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10668,not biddable,469.99,new,Cellular,Unknown,Space Gray,16/32/64 GB,iPad mini3,0,no description,44,3,99 ending
10669,biddable,0.99,used,No cellular,None,White,16/32/64 GB,iPad 4,1,contains description,0,0,99 ending
10670,biddable,50,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,contains description,0,0,not a 99 ending
10671,biddable,400,used,Cellular,Unknown,Unknown,128 GB,iPad 4,0,contains description,0,0,not a 99 ending
10672,biddable,99.99,used,No cellular,None,White,16/32/64 GB,iPad mini 2,1,contains description,0,0,99 ending
10673,biddable,179.99,used,No cellular,None,White,16/32/64 GB,iPad 2,0,contains description,0,0,99 ending
10674,not biddable,222.72,used,No cellular,None,Unknown,16/32/64 GB,iPad mini 2,0,no description,94,18,not a 99 ending
10675,not biddable,280,used,No cellular,None,White,16/32/64 GB,iPad Air 1/2,1,no description,98,2,not a 99 ending
10676,not biddable,285,used,Unknown,Unknown,Unknown,Unknown,Unknown,0,no description,30,2,not a 99 ending
10677,biddable,79,used,No cellular,None,Unknown,16/32/64 GB,iPad 1,1,no description,100,4,not a 99 ending
10678,biddable,99,used,Cellular,AT&T,White,16/32/64 GB,iPad 3,1,contains description,0,0,99 ending
10679,not biddable,387.45,used,No cellular,None,Black,16/32/64 GB,iPad mini,0,no description,106,2,not a 99 ending
10680,biddable,239.99,new,No cellular,None,Space Gray,16/32/64 GB,iPad mini 2,0,contains description,0,0,99 ending
10681,not biddable,175,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,0,no description,99,4,not a 99 ending
10682,not biddable,438,new,No cellular,None,White,16/32/64 GB,iPad Air 1/2,0,contains description,0,0,not a 99 ending
10683,biddable,140,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,0,no description,98,2,not a 99 ending
10684,biddable,139.99,used,No cellular,None,Black,16/32/64 GB,iPad 4,1,contains description,0,0,99 ending
10685,biddable,99.99,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,1,contains description,0,0,99 ending
10686,not biddable,199,used,Unknown,Unknown,Black,Unknown,iPad 3,1,no description,96,3,99 ending
10687,biddable,80,used,No cellular,None,White,Unknown,iPad 1,0,no description,29,2,not a 99 ending
10688,biddable,0.99,used,Unknown,Unknown,Unknown,Unknown,Unknown,1,no description,94,2,99 ending
10689,not biddable,200,new,No cellular,None,Unknown,16/32/64 GB,iPad mini,1,contains description,0,0,not a 99 ending
10690,not biddable,185,used,Unknown,Unknown,Unknown,Unknown,Unknown,0,no description,48,7,not a 99 ending
10691,biddable,449.99,new,Unknown,Unknown,Gold,16/32/64 GB,iPad mini3,0,no description,101,3,99 ending
10692,biddable,49.99,used,No cellular,None,Unknown,16/32/64 GB,iPad Air 1/2,1,no description,101,3,99 ending
10693,not biddable,259.99,new,Cellular,Sprint/T-Mobile,Black,16/32/64 GB,iPad mini,1,no description,12,3,99 ending
10694,biddable,149,used,No cellular,None,Space Gray,16/32/64 GB,iPad mini,1,no description,91,74,not a 99 ending
10695,biddable,175,new,No cellular,None,White,16/32/64 GB,iPad mini,0,no description,79,1,not a 99 ending
10696,biddable,150,used,Cellular,Unknown,White,16/32/64 GB,iPad 3,1,no description,99,4,not a 99 ending
10697,biddable,50,used,Unknown,Unknown,Unknown,16/32/64 GB,iPad 1,1,no description,46,0,not a 99 ending
10698,biddable,1,new,Cellular,Sprint/T-Mobile,Gold,16/32/64 GB,iPad Air 1/2,1,contains description,0,0,not a 99 ending
10699,biddable,9.99,used,No cellular,None,White,16/32/64 GB,iPad 1,1,no description,93,4,99 ending
10700,not biddable,319.99,used,Cellular,Verizon,Unknown,16/32/64 GB,iPad 4,0,contains description,0,0,99 ending
10701,not biddable,194.95,used,Cellular,Verizon,Black,16/32/64 GB,iPad 2,1,contains description,0,0,not a 99 ending
10702,biddable,80,used,No cellular,None,White,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10703,biddable,218,used,Cellular,AT&T,Black,16/32/64 GB,iPad 4,1,contains description,0,0,not a 99 ending
10704,biddable,0.99,used,No cellular,None,White,16/32/64 GB,iPad 4,1,contains description,0,0,99 ending
10705,biddable,210,new,No cellular,None,Space Gray,16/32/64 GB,iPad mini,0,no description,47,2,not a 99 ending
10706,biddable,150,used,No cellular,None,Black,16/32/64 GB,iPad 1,0,no description,99,2,not a 99 ending
10707,not biddable,429,used,Cellular,Verizon,Black,16/32/64 GB,iPad mini,0,no description,33,26,not a 99 ending
10708,biddable,0.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,no description,93,2,99 ending
10709,not biddable,215.99,used,No cellular,None,Unknown,16/32/64 GB,iPad 2,0,contains description,0,0,99 ending
10710,not biddable,219.99,new,No cellular,None,Space Gray,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10711,not biddable,199.99,used,No cellular,None,White,16/32/64 GB,iPad mini,0,contains description,0,0,99 ending
10712,biddable,0.99,used,Cellular,AT&T,Black,16/32/64 GB,iPad 1,1,no description,70,2,99 ending
10713,biddable,9.99,used,No cellular,None,White,16/32/64 GB,iPad 1,1,no description,93,4,99 ending
