"","carat","cut","color","clarity","depth","table","price","x","y","z","price_hilo"
"14532",0.31,"Good","G","VS1",63.8,57,625,4.29,4.33,2.75,0
"6527",1.33,"Premium","G","VS2",58.6,61,9682,7.21,7.17,4.21,1
"6074",0.6,"Ideal","G","VS1",61.6,56,2131,5.44,5.47,3.36,0
"7463",0.59,"Ideal","G","VS2",61.9,57,2336,5.41,5.38,3.34,0
"19277",0.45,"Good","G","VS1",64.1,58.8,1127,4.79,4.86,3.09,0
"18518",0.33,"Ideal","F","IF",61.5,55,1042,4.44,4.47,2.74,0
"30424",0.52,"Ideal","D","VS2",62.6,55,1822,5.12,5.14,3.21,0
"14630",0.54,"Premium","H","VS1",62.6,59,1720,5.22,5.19,3.26,0
"30425",1.53,"Premium","I","SI1",61.5,59,8911,7.39,7.32,4.52,1
"39600",1.41,"Premium","H","VS2",61.2,60,8654,7.17,7.21,4.4,1
"36804",1.21,"Very Good","I","VS1",59.4,60,5865,6.9,6.97,4.12,1
"1895",0.5,"Very Good","E","VS2",60.9,58,1605,5.14,5.17,3.14,0
"34778",0.41,"Ideal","D","VS2",62.4,55,1007,4.76,4.79,2.98,0
"24524",0.4,"Premium","D","VS1",62.1,58,1123,4.7,4.73,2.93,0
"16438",0.58,"Very Good","I","VS2",61.7,54.1,1408,5.37,5.4,3.32,0
"20750",1,"Fair","I","I1",65.4,57,2112,6.28,6.2,4.08,0
"15254",0.4,"Ideal","D","VS2",62.8,57,1050,4.72,4.68,2.95,0
"29301",0.27,"Ideal","I","VS1",61.6,56,432,4.15,4.19,2.57,0
"11901",2.01,"Fair","I","I1",67.4,58,5696,7.71,7.64,5.17,1
"35815",0.34,"Fair","F","VVS1",55.2,59,1040,4.72,4.77,2.62,0
"3663",0.51,"Ideal","G","VVS2",62,57,1877,5.11,5.15,3.18,0
"36111",1.13,"Ideal","I","VVS1",61.6,57,7459,6.67,6.75,4.12,1
"30201",0.33,"Ideal","G","VS1",61.8,56,854,4.45,4.42,2.74,0
"21503",1.2,"Very Good","J","SI1",60.5,59,4455,6.79,6.84,4.12,1
"39999",0.3,"Ideal","H","SI1",62.2,57,450,4.26,4.29,2.66,0
"31910",0.58,"Ideal","H","VS1",61.1,57,1759,5.38,5.42,3.3,0
"34585",2.05,"Good","G","I1",56.9,58,7026,8.46,8.3,4.77,1
"28650",0.76,"Premium","J","SI1",58.4,59,1904,6.01,5.97,3.51,0
"28677",0.32,"Good","D","SI1",63.6,56,589,4.34,4.37,2.77,0
"35756",2.02,"Ideal","I","SI1",62.2,57,16704,8.1,8.04,5.02,1
"31090",0.33,"Ideal","I","SI1",61.3,56,463,4.44,4.47,2.73,0
"38541",0.3,"Ideal","E","VVS2",61.7,57,789,4.31,4.34,2.67,0
"19832",1,"Very Good","G","VS1",60.6,63,6699,6.42,6.45,3.9,1
"31116",0.3,"Good","G","VS1",63.6,57,605,4.23,4.26,2.7,0
"30094",1.21,"Very Good","I","VS1",60.6,60,5726,6.89,6.85,4.16,1
"22784",1.2,"Ideal","I","VS2",61.5,57,5880,6.8,6.75,4.17,1
"10472",0.32,"Ideal","E","VVS2",61.9,54,843,4.41,4.44,2.74,0
"23743",0.31,"Premium","I","VVS2",62.2,57,698,4.37,4.34,2.71,0
"32913",1.6,"Ideal","H","IF",61.5,53,16300,7.57,7.69,4.66,1
"18892",0.32,"Ideal","E","VS1",61.7,56,972,4.42,4.39,2.72,0
"5929",0.41,"Ideal","D","VVS2",62.3,57,1356,4.76,4.74,2.96,0
"9271",0.51,"Premium","G","VS1",60.2,57,1709,5.24,5.2,3.14,0
"25561",0.7,"Very Good","G","SI1",62,61,2234,5.68,5.71,3.53,0
"33132",1.51,"Premium","J","VS2",59.6,60,7418,7.48,7.58,4.49,1
"32835",0.31,"Very Good","H","VS1",61.8,61,544,4.32,4.36,2.68,0
"19321",0.53,"Very Good","E","VS1",58.5,61,1852,5.28,5.39,3.12,0
"7332",0.31,"Premium","J","SI1",61.9,59,465,4.32,4.28,2.66,0
"1928",0.24,"Very Good","E","VVS2",63.9,53,485,3.93,3.96,2.52,0
"25298",1.21,"Premium","J","VVS2",61.7,60,5531,6.85,6.82,4.22,1
"7923",0.41,"Premium","E","VS1",60.7,58,1079,4.79,4.83,2.92,0
"17125",0.34,"Premium","E","VS2",61.9,58,745,4.43,4.45,2.75,0
"11043",0.37,"Ideal","G","VVS2",62,56,909,4.62,4.64,2.87,0
"6948",1.02,"Premium","H","SI2",62.6,58,4798,6.44,6.4,4.02,1
"11635",0.3,"Ideal","D","VS2",62.6,56,710,4.28,4.31,2.69,0
"19799",0.5,"Ideal","G","VVS1",62.2,55,1865,5.09,5.14,3.18,0
"3277",0.25,"Ideal","F","VS1",61.8,57,436,4.07,4.09,2.52,0
"11266",1,"Good","D","SI2",57.8,58,4218,6.55,6.61,3.8,1
"25951",0.39,"Ideal","G","VVS2",62,54.5,952,4.67,4.7,2.91,0
"18465",0.71,"Ideal","D","VS2",61.2,57,4029,5.72,5.76,3.51,1
"18038",1,"Good","H","SI2",63.7,58,3472,6.28,6.15,3.96,0
"22669",0.31,"Ideal","E","VVS2",62,54,864,4.33,4.35,2.69,0
"32156",0.3,"Premium","G","VS1",61.9,59,776,4.32,4.28,2.66,0
"21495",0.67,"Ideal","G","IF",61.6,55,3271,5.61,5.65,3.47,0
"31054",0.36,"Premium","F","SI1",62.3,59,600,4.5,4.56,2.82,0
"39228",0.53,"Ideal","F","VS1",62.2,55,1812,5.17,5.22,3.23,0
"3253",0.4,"Very Good","D","SI2",63.1,56,798,4.67,4.65,2.94,0
"7220",0.73,"Premium","G","VS2",61.4,59,2770,5.83,5.76,3.56,0
"19648",0.5,"Premium","F","SI1",59.6,61,1125,5.15,5.12,3.06,0
"25920",2.05,"Premium","H","VS2",61.8,60,18318,8.19,8.14,5.05,1
"30133",0.9,"Very Good","E","SI1",63.2,57,3830,6.15,6.12,3.88,0
"8163",1,"Ideal","E","SI2",62.9,55,4808,6.38,6.41,4.02,1
"3199",0.35,"Ideal","D","SI1",60.7,57,644,4.53,4.57,2.76,0
"31579",1.2,"Premium","D","SI2",61.4,60,5947,6.85,6.79,4.19,1
"18310",0.3,"Ideal","D","SI1",61.9,54,709,4.34,4.32,2.68,0
"20045",1.5,"Very Good","I","VS1",62.8,58,9033,7.17,7.23,4.52,1
"22705",0.52,"Ideal","G","VS1",61.6,56,1722,5.18,5.22,3.2,0
"39946",1,"Fair","G","SI2",64.6,67,3142,6.25,6.19,4.02,0
"19266",1.11,"Ideal","G","SI1",62,57,5127,6.69,6.61,4.12,1
"12004",0.32,"Good","E","VS1",59.5,64,756,4.42,4.45,2.64,0
"3365",0.38,"Very Good","E","VS2",59.2,60,866,4.73,4.77,2.81,0
"12886",1.05,"Ideal","F","SI1",60.6,59,5586,6.51,6.56,3.96,1
"25529",0.32,"Very Good","D","VVS2",61.9,54,841,4.43,4.46,2.75,0
"20827",2.04,"Premium","J","VS1",62.6,58,14660,8.11,8.06,5.06,1
"35529",0.71,"Very Good","G","SI1",63.1,60,2240,5.6,5.69,3.56,0
"26271",0.53,"Ideal","F","VVS1",60.9,57,2830,5.23,5.29,3.19,0
"23876",0.32,"Ideal","G","IF",61.2,56,918,4.4,4.43,2.7,0
"15488",1.21,"Ideal","G","VS1",61.8,57,10685,6.81,6.86,4.23,1
"1405",0.7,"Very Good","I","VVS1",60.9,60,2421,5.68,5.71,3.47,0
"18188",0.54,"Ideal","H","VS2",61.9,56,1359,5.24,5.26,3.25,0
"14295",0.27,"Ideal","F","VS1",61.7,57,577,4.15,4.18,2.57,0
"22798",0.3,"Ideal","G","VVS2",62.9,55,819,4.31,4.28,2.7,0
"1488",0.78,"Very Good","G","VS2",62.6,58,3113,5.81,5.89,3.66,0
"20703",0.37,"Ideal","D","SI1",61.1,57,823,4.63,4.64,2.83,0
"39263",1.5,"Fair","E","SI1",58.2,66,11128,7.45,7.4,4.32,1
"15125",0.71,"Ideal","D","SI2",62.7,55,2551,5.67,5.71,3.57,0
"35959",0.38,"Ideal","H","VS2",61.9,56,680,4.63,4.68,2.88,0
"22248",1.53,"Ideal","I","SI2",63.7,58,8062,7.31,7.27,4.64,1
"6105",0.42,"Premium","G","VVS1",59.3,59,1235,4.92,4.9,2.91,0
"17466",0.7,"Very Good","I","VS1",63.1,57,2411,5.67,5.59,3.55,0
"9180",0.73,"Ideal","J","VS2",62,56,2258,5.76,5.79,3.58,0
"9972",0.38,"Ideal","G","VS1",62,55,882,4.64,4.68,2.89,0
"32866",1.01,"Good","J","SI1",63.6,54,3665,6.44,6.36,4.07,0
"32865",0.76,"Ideal","D","SI2",62.2,57,2682,5.83,5.85,3.63,0
"34878",0.41,"Ideal","E","VS1",61.3,55,990,4.8,4.83,2.95,0
"29307",0.52,"Good","D","SI1",63.9,58,1605,5.12,5.08,3.26,0
"4865",0.9,"Good","G","VS1",63.6,58,4460,6.12,6.09,3.88,1
"11070",0.8,"Premium","E","VVS2",62.9,59,4229,5.95,5.88,3.72,1
"34820",0.61,"Very Good","E","VS2",60.1,60,1884,5.5,5.54,3.32,0
"32343",0.26,"Ideal","E","VVS1",62,56,599,4.09,4.13,2.55,0
"20683",1.03,"Very Good","H","SI1",60.8,60,4836,6.47,6.5,3.94,1
"24398",0.38,"Ideal","D","VS2",60.8,57,787,4.66,4.68,2.84,0
"38383",0.32,"Ideal","F","VVS1",61.6,55,854,4.42,4.44,2.73,0
"21219",1.56,"Ideal","F","VS2",62,55,17108,7.41,7.45,4.61,1
"6",3.04,"Premium","I","SI2",59.3,60,18559,9.51,9.46,5.62,1
"14607",1.05,"Ideal","G","SI2",62.3,56,4561,6.52,6.58,4.08,1
"16604",0.32,"Ideal","D","VS2",62,54,912,4.39,4.42,2.73,0
"23829",0.7,"Very Good","E","SI1",63.5,58,2592,5.65,5.62,3.58,0
"39855",0.3,"Good","H","VVS2",63.6,56,776,4.29,4.26,2.72,0
"19211",0.42,"Ideal","F","VVS2",61.6,55,1069,4.84,4.87,2.99,0
"26845",0.7,"Fair","G","SI2",69.3,60,1420,5.41,5.35,3.72,0
"2483",2.06,"Ideal","H","SI2",62,57,11040,8.1,8.06,5.01,1
"16466",0.61,"Ideal","E","VVS1",59.9,61,3212,5.5,5.55,3.31,0
"23732",1,"Very Good","D","SI1",59.8,59,5671,6.47,6.51,3.88,1
"30445",1.7,"Premium","F","SI2",58.5,60,9330,7.87,7.8,4.58,1
"13251",0.32,"Ideal","D","VS2",61.8,57,972,4.36,4.35,2.69,0
"37910",0.3,"Ideal","E","VS2",61.4,56,795,4.32,4.34,2.66,0
"15055",1.01,"Premium","F","SI1",58.5,60,4989,6.6,6.57,3.85,1
"28763",1.01,"Very Good","G","VS2",59.9,60,5759,6.46,6.52,3.89,1
"5610",0.52,"Very Good","E","VS1",62.3,59,1806,5.14,5.17,3.21,0
"27176",0.56,"Premium","D","SI1",60.8,60,1814,5.31,5.29,3.22,0
"23581",1.07,"Very Good","H","VS1",62.5,56,5661,6.52,6.6,4.1,1
"39774",0.7,"Premium","E","VS1",62.7,60,2695,5.64,5.59,3.52,0
"32220",0.3,"Very Good","E","SI1",60.6,56,526,4.35,4.37,2.64,0
"28632",0.3,"Very Good","E","VVS2",62.9,55,840,4.25,4.27,2.68,0
"11520",0.55,"Very Good","J","SI1",60.9,56,1100,5.29,5.35,3.24,0
"12745",0.71,"Good","G","SI1",62.3,56,2251,5.68,5.72,3.55,0
"39720",1.21,"Premium","I","SI1",62.3,59,5556,6.81,6.77,4.23,1
"25099",0.3,"Very Good","F","VVS2",62.4,57,694,4.25,4.27,2.66,0
"3870",0.9,"Good","D","SI2",63.8,58,3806,6.09,6.13,3.9,0
"32215",0.9,"Premium","D","SI2",61,61,3312,6.17,6.15,3.76,0
"1457",0.45,"Premium","D","VS1",60.6,59,1297,4.96,4.98,3.01,0
"14386",1.2,"Very Good","E","VS2",60.7,59,8769,6.79,6.86,4.14,1
"9759",0.7,"Premium","F","VS2",62.5,56,2648,5.67,5.63,3.53,0
"38251",0.54,"Ideal","F","SI1",61.8,56,1669,5.22,5.23,3.23,0
"34716",0.56,"Ideal","E","VS1",61.2,56,2085,5.3,5.34,3.26,0
"24762",0.72,"Premium","H","VS2",61.1,58,2318,5.78,5.74,3.52,0
"29675",0.3,"Premium","G","VS2",62.6,62,630,4.25,4.21,2.65,0
"2136",0.38,"Ideal","G","VS2",60.4,57,726,4.68,4.71,2.83,0
"9066",0.51,"Fair","F","VS2",61,66,1334,5.12,5.04,3.1,0
"18026",0.53,"Ideal","D","VS2",61.1,56,1825,5.28,5.24,3.21,0
"26819",0.3,"Very Good","J","VS1",63.4,57,506,4.26,4.23,2.69,0
"34014",0.73,"Fair","F","SI2",59.2,64,2164,5.92,5.83,3.48,0
"13343",0.31,"Ideal","D","VS1",62,57,673,4.33,4.35,2.69,0
"34419",0.33,"Premium","D","SI2",62.1,58,492,4.4,4.43,2.74,0
"27102",0.91,"Very Good","F","SI1",62.2,57,4108,6.19,6.25,3.87,1
"31598",0.24,"Ideal","G","VVS1",62,55,559,4.01,4.03,2.49,0
"17016",0.94,"Very Good","D","SI2",59,59,3862,6.34,6.41,3.76,0
"23184",1.12,"Premium","I","VS2",61.9,58,5027,6.63,6.68,4.12,1
"16046",1.1,"Premium","I","SI1",60.4,61,4312,6.73,6.69,4.05,1
"14745",0.3,"Ideal","H","VS2",62.1,55,491,4.33,4.36,2.7,0
"9265",0.34,"Premium","I","VVS1",60.5,59,803,4.54,4.48,2.73,0
"7060",0.91,"Ideal","J","VS1",60.7,57,3296,6.26,6.23,3.79,0
"21736",0.75,"Ideal","E","VS2",61.9,57,3435,5.81,5.83,3.6,0
"22231",0.5,"Ideal","F","VVS2",61.6,56,2052,5.08,5.11,3.14,0
"28247",0.91,"Ideal","H","SI1",61.6,56,4096,6.21,6.25,3.84,1
"17079",1.29,"Good","J","VS2",58.2,61,5898,7.07,7.12,4.13,1
"13221",0.36,"Ideal","I","VVS2",61.5,57,655,4.55,4.58,2.8,0
"20715",0.71,"Ideal","I","SI1",62.3,53,2319,5.69,5.82,3.56,0
"37815",1.02,"Very Good","D","VS2",63.7,55,6830,6.42,6.45,4.1,1
"23455",1.1,"Ideal","G","VS2",62,56,6653,6.68,6.6,4.12,1
"32196",0.73,"Ideal","F","VS1",61.1,57,3140,5.8,5.89,3.57,0
"35169",2,"Fair","H","SI1",65.1,56,14430,7.86,7.77,5.09,1
"2532",1.17,"Fair","E","VS2",64.5,56,6814,6.75,6.68,4.33,1
"19048",0.34,"Ideal","E","VS2",61.8,57,696,4.48,4.52,2.78,0
"13497",1.03,"Very Good","G","SI2",63.9,59,4769,6.33,6.39,4.07,1
"33613",1.2,"Premium","J","SI2",61.7,57,3782,6.85,6.79,4.21,0
"30148",1.01,"Premium","I","SI2",62.9,58,3461,6.34,6.31,3.98,0
"32929",1.01,"Ideal","F","SI2",61.5,56,4458,6.42,6.49,3.97,1
"19450",1.54,"Premium","G","SI2",59.4,60,7848,7.52,7.49,4.46,1
"24206",0.51,"Ideal","F","VS2",62.5,55,1442,5.08,5.13,3.19,0
"22429",1.7,"Very Good","F","I1",63.1,56,5998,7.62,7.51,4.78,1
"27810",0.93,"Very Good","J","VS1",63,53,3651,6.22,6.26,3.93,0
"3743",1.01,"Ideal","F","VS1",62,57,7465,6.39,6.45,3.98,1
"14978",1.04,"Ideal","G","SI1",61.9,56,5311,6.46,6.5,4.01,1
"23815",1.24,"Premium","H","VS1",61.2,59,7493,6.94,6.91,4.24,1
"20283",0.56,"Ideal","H","SI1",61.8,55,1214,5.31,5.34,3.29,0
"2192",0.3,"Ideal","H","VVS1",61.9,55,684,4.32,4.34,2.68,0
"28557",0.55,"Ideal","I","VS2",58.5,62,1327,5.4,5.39,3.16,0
"26032",2.08,"Premium","H","SI1",62.6,59,17778,8.13,8.1,5.08,1
"1695",0.84,"Very Good","G","SI2",62.9,55,2584,5.99,6.12,3.8,0
"23579",1.01,"Premium","F","SI1",60.3,58,4829,6.53,6.61,3.96,1
"27965",1.16,"Very Good","H","SI2",63.2,57,4455,6.66,6.7,4.22,1
"14332",1.18,"Ideal","I","VS1",62.6,55,6661,6.79,6.73,4.24,1
"4740",0.41,"Good","H","SI1",63.8,56,876,4.74,4.69,3.01,0
"28416",0.31,"Ideal","F","VS2",61.5,56,802,4.37,4.34,2.68,0
"28043",1.02,"Very Good","F","SI2",59.9,62,4162,6.5,6.53,3.9,1
"2341",0.31,"Good","F","SI1",63.1,57,516,4.28,4.31,2.71,0
"39997",0.7,"Ideal","H","VS1",61,56,2492,5.74,5.76,3.51,0
"29086",0.43,"Premium","D","SI1",62.4,60,796,4.79,4.82,3,0
"18837",0.51,"Very Good","G","VS2",62.7,57,1438,5.05,5.12,3.19,0
"16153",0.38,"Premium","G","VS2",60.1,61,983,4.66,4.63,2.79,0
"15493",0.71,"Ideal","D","SI2",61.3,57,2610,5.71,5.78,3.52,0
"21482",0.56,"Ideal","D","VS2",61.2,56,1963,5.3,5.35,3.26,0
"28054",2.32,"Premium","I","SI2",62.1,58,10913,8.47,8.43,5.25,1
"3963",0.35,"Ideal","I","IF",61.8,53,808,4.55,4.57,2.81,0
"13326",0.43,"Very Good","E","VS1",61.3,56,890,4.85,4.88,2.98,0
"12196",1.04,"Ideal","J","SI1",61.1,57,3931,6.57,6.52,4,1
"26742",1.03,"Ideal","I","VS1",61.3,53,5181,6.54,6.57,4.01,1
"4289",0.72,"Very Good","I","SI2",63.4,56,1907,5.67,5.72,3.61,0
"17875",1.2,"Very Good","J","SI1",61.2,55,5142,6.84,6.88,4.2,1
"3845",0.34,"Ideal","H","VVS2",63,55,880,4.48,4.44,2.81,0
"18801",0.5,"Very Good","H","SI1",62.9,58,1068,5.01,5.04,3.16,0
"8498",0.32,"Ideal","H","VVS1",62.7,55,692,4.37,4.4,2.75,0
"21497",1.75,"Premium","F","VS2",61.4,58,17172,7.76,7.72,4.75,1
"2822",0.23,"Very Good","D","VS2",62.7,58,362,3.86,3.89,2.43,0
"35709",0.9,"Premium","H","VS2",61.7,59,4266,6.13,6.19,3.8,1
"7978",0.77,"Ideal","J","VS2",62.5,57,2257,5.8,5.91,3.66,0
"17127",0.71,"Ideal","E","SI2",59.3,56,2388,5.89,5.84,3.48,0
"20512",0.31,"Good","E","SI1",63.4,55,544,4.29,4.32,2.73,0
"39255",0.48,"Fair","E","SI2",55.2,60,907,5.29,5.25,2.91,0
"2113",0.43,"Premium","F","SI1",61.7,58,948,4.84,4.82,2.98,0
"24050",1.52,"Premium","E","VS1",60.6,58,16779,7.44,7.38,4.49,1
"28512",0.52,"Premium","G","SI2",61.5,59,1196,5.19,5.15,3.18,0
"28554",1.09,"Ideal","H","SI1",61.1,57,5125,6.62,6.71,4.07,1
"35711",0.51,"Good","G","VS2",63.9,56,1343,5.07,5.1,3.25,0
"11937",1.2,"Ideal","G","SI1",61.2,56,6502,6.92,6.84,4.21,1
"34756",1.23,"Ideal","G","VVS1",63.2,56,10113,6.78,6.83,4.3,1
"8626",0.31,"Premium","J","VS1",60.7,60,523,4.39,4.34,2.65,0
"10982",0.38,"Premium","F","SI1",62.7,58,700,4.6,4.62,2.89,0
"13391",0.42,"Ideal","I","VVS1",60.2,57,945,4.88,4.85,2.93,0
"38178",0.3,"Ideal","H","VS2",62,57,457,4.27,4.31,2.66,0
"20834",0.25,"Ideal","G","VS1",62.5,55,454,4,4.02,2.51,0
"8292",0.73,"Ideal","J","SI1",62,55,2184,5.75,5.86,3.6,0
"38774",0.38,"Ideal","D","SI2",62,53,599,4.68,4.71,2.91,0
"19281",1.2,"Premium","E","VS1",60.7,57,10053,6.89,6.81,4.16,1
"399",0.7,"Very Good","E","VS1",60.7,57,3358,5.72,5.75,3.48,0
"2790",1.03,"Good","D","SI2",59.3,58,4671,6.57,6.61,3.91,1
"17213",0.41,"Ideal","D","SI1",61.8,58,1399,4.73,4.79,2.94,0
"17766",0.7,"Ideal","I","VVS2",62.5,54,2353,5.68,5.71,3.56,0
"22130",0.52,"Ideal","D","SI1",63,57,1605,5.14,5.12,3.23,0
"20993",1.22,"Ideal","I","SI1",60.8,57,5602,6.95,6.89,4.21,1
"16732",1,"Premium","H","SI2",59,58,3472,6.62,6.5,3.87,0
"5646",0.28,"Very Good","F","VVS2",60.2,58,628,4.26,4.28,2.57,0
"16168",0.75,"Fair","J","VS2",59.1,66,1944,5.99,5.82,3.49,0
"20680",0.91,"Ideal","F","SI1",60.2,57,4108,6.29,6.34,3.8,1
"16195",0.52,"Ideal","D","VS2",61,57,1774,5.18,5.21,3.17,0
"32593",1.7,"Very Good","I","SI1",61.9,62,10680,7.52,7.58,4.67,1
"29390",1.11,"Ideal","I","SI2",61.9,57,4457,6.66,6.62,4.11,1
"18551",0.34,"Premium","F","SI1",59.8,58,727,4.57,4.53,2.72,0
"32515",0.53,"Very Good","J","VS2",62.4,58,1124,5.15,5.24,3.24,0
"23966",1.34,"Very Good","D","SI2",61.7,58,7453,7.04,7.1,4.36,1
"16402",0.4,"Ideal","G","VS1",62.4,57,1125,4.74,4.72,2.95,0
"22447",0.51,"Ideal","G","VVS2",61.3,57,1875,5.12,5.15,3.15,0
"6209",0.56,"Good","F","VS1",58.6,62,1712,5.3,5.45,3.16,0
"9254",1.2,"Premium","F","VS2",60.4,59,8796,6.91,6.89,4.17,1
"27929",0.7,"Ideal","D","SI2",60.6,56.6,2575,5.75,5.77,3.49,0
"19131",0.32,"Ideal","D","SI2",59.8,57,612,4.46,4.4,2.65,0
"2255",0.3,"Very Good","G","VS2",59.3,59,491,4.38,4.42,2.61,0
"32355",0.7,"Very Good","H","SI1",57.7,60,2048,5.85,5.9,3.39,0
"6140",0.9,"Premium","F","SI2",60.3,55,3704,6.35,6.28,3.81,0
"7547",1.14,"Premium","F","SI1",61.1,59,5925,6.7,6.75,4.11,1
"8472",0.98,"Fair","E","SI2",53.3,67,2855,6.82,6.74,3.61,0
"37477",0.3,"Premium","E","VS2",62,59,658,4.27,4.31,2.66,0
"15064",1.7,"Very Good","F","VS2",60.8,60,17597,7.65,7.68,4.66,1
"17932",0.31,"Ideal","F","VS2",60.8,57,625,4.36,4.39,2.66,0
"12337",0.57,"Premium","E","VS2",62.5,55,1645,5.33,5.27,3.31,0
"16184",0.9,"Fair","E","VS2",65.2,61,3875,6.01,5.98,3.91,0
"36671",0.5,"Ideal","F","SI2",62,58,1095,5.08,5.11,3.16,0
"30593",0.72,"Ideal","H","VS2",61.2,57,3018,5.79,5.77,3.54,0
"29369",0.31,"Ideal","G","VVS1",60.9,55,789,4.4,4.43,2.69,0
"22065",1.12,"Ideal","F","VVS2",61.3,57,10764,6.67,6.7,4.1,1
"4697",0.51,"Good","D","SI2",64.2,56,1232,5.05,5.02,3.23,0
"17041",0.31,"Premium","G","SI2",61.3,58,408,4.37,4.4,2.69,0
"3755",0.38,"Very Good","F","VS1",62.7,57,883,4.71,4.64,2.93,0
"30528",0.31,"Ideal","E","VVS1",60.5,57,942,4.38,4.41,2.66,0
"31568",0.31,"Good","E","VS2",59.1,56,651,4.41,4.46,2.62,0
"14281",1.18,"Ideal","G","VVS2",61.3,55,10308,6.86,6.81,4.19,1
"13529",0.37,"Ideal","F","VVS1",61.3,55,960,4.62,4.65,2.84,0
"958",0.41,"Ideal","E","VVS2",62.3,56,1243,4.78,4.75,2.97,0
"28946",0.74,"Ideal","F","VS1",62,54.8,3340,5.81,5.83,3.61,0
"20796",0.31,"Ideal","I","VVS1",62.3,54,557,4.37,4.4,2.73,0
"20746",0.54,"Ideal","F","VS1",60.9,57,1772,5.21,5.26,3.19,0
"30749",1.7,"Good","H","VS2",63.3,57,12117,7.54,7.59,4.79,1
"7443",0.59,"Ideal","G","VVS2",61,57,2131,5.44,5.41,3.31,0
"23495",0.7,"Premium","G","SI1",61.4,60,2394,5.69,5.74,3.51,0
"29726",0.7,"Very Good","I","SI1",63.5,59,1999,5.65,5.62,3.58,0
"1075",0.4,"Very Good","D","VVS2",60.8,56,1133,4.78,4.82,2.92,0
"31691",1.02,"Premium","H","SI2",59.8,59,4284,6.54,6.5,3.9,1
"33109",0.55,"Premium","F","VS2",62.5,58,2376,5.25,5.22,3.27,0
"31466",0.51,"Ideal","G","VS1",59.7,57,1656,5.2,5.25,3.12,0
"38966",0.5,"Ideal","G","SI2",62.1,55,1080,5.09,5.12,3.17,0
"7039",1.23,"Premium","J","SI1",61.9,54,4649,6.89,6.86,4.26,1
"4380",1.21,"Ideal","G","VS2",61.5,56,8294,6.83,6.88,4.22,1
"31747",0.34,"Ideal","D","VS2",62.1,55,1033,4.49,4.46,2.78,0
"1009",2,"Premium","H","SI1",58.2,60,18371,8.34,8.26,4.83,1
"24807",0.56,"Ideal","I","SI1",61.9,57,1212,5.25,5.29,3.26,0
"37426",0.32,"Ideal","D","SI1",62.7,54,589,4.37,4.4,2.75,0
"8310",0.72,"Ideal","E","SI1",61,57,3012,5.77,5.8,3.53,0
"37758",1.52,"Premium","F","VS2",62.2,58,12985,7.38,7.29,4.56,1
"9549",0.41,"Ideal","D","VS1",62.9,57,1230,4.75,4.73,2.98,0
"35598",1.2,"Very Good","F","VS1",62.9,57,9586,6.73,6.78,4.25,1
"36844",0.42,"Premium","G","VS2",59.5,59,847,4.83,4.89,2.89,0
"29116",0.9,"Good","J","VS2",63.9,58,3024,6.15,6.08,3.91,0
"34362",0.59,"Ideal","G","VS2",62.6,54,1789,5.38,5.32,3.35,0
"7133",0.52,"Ideal","D","VS2",61.6,55,1919,5.2,5.15,3.19,0
"15675",0.5,"Very Good","D","SI1",61.6,56,1454,5.09,5.11,3.14,0
"12332",0.79,"Very Good","F","VS1",61,55,3806,6.01,6.03,3.67,0
"8045",0.5,"Good","F","VS2",64,57,1323,5.08,5.04,3.23,0
"8744",0.52,"Ideal","H","VS2",61.6,55,1401,5.19,5.24,3.21,0
"1151",0.4,"Ideal","J","VS1",61.5,58,633,4.73,4.76,2.92,0
"38873",0.3,"Ideal","G","IF",62.6,56,794,4.29,4.32,2.69,0
"12672",0.94,"Good","I","SI2",63.8,60,3079,6.21,6.14,3.94,0
"12603",1.52,"Good","H","SI1",63.6,57,9898,7.25,7.3,4.63,1
"14610",0.56,"Ideal","D","SI1",61.9,56,1745,5.24,5.29,3.26,0
"20805",0.28,"Very Good","D","VS1",60.5,58,458,4.23,4.26,2.57,0
"36980",0.34,"Ideal","E","VS1",61.2,57,1033,4.51,4.45,2.74,0
"14191",0.3,"Very Good","G","VVS1",60.7,57,691,4.35,4.37,2.65,0
"11724",1.01,"Premium","H","SI1",61.8,61,4513,6.47,6.4,3.98,1
"32493",0.32,"Very Good","G","VS1",62.1,55,645,4.41,4.44,2.75,0
"27840",0.8,"Very Good","E","VS1",63.2,54,3831,5.88,5.93,3.73,0
"14748",0.31,"Ideal","H","IF",62.1,54,1046,4.37,4.33,2.7,0
"3031",1.04,"Premium","E","VS2",61.1,59,7047,6.54,6.56,4,1
"35720",0.31,"Premium","I","VVS2",61.6,59,698,4.33,4.31,2.66,0
"23762",0.41,"Ideal","J","VS1",62,53.6,674,4.75,4.79,2.96,0
"34005",0.71,"Premium","E","SI1",59.5,62,2629,5.85,5.74,3.45,0
"21278",0.32,"Ideal","E","VVS1",61.7,55,917,4.39,4.43,2.72,0
"29901",1.03,"Very Good","F","SI2",63.3,59,3692,6.35,6.32,4.01,0
"25508",1,"Very Good","E","VS2",61.9,57,6732,6.35,6.38,3.94,1
"17891",1.51,"Very Good","G","VS1",59.5,59,14028,7.41,7.45,4.42,1
"29752",0.53,"Ideal","D","VS2",61.4,55,1585,5.21,5.24,3.21,0
"5632",0.5,"Good","F","VS1",56.4,62,1390,5.31,5.22,2.97,0
